,category,title,shorts,unicode_alternates,keywords,ucode_short,ucode,aliases,alt_title,aliases_ascii
🏄🏼,activity,surfer type,[surfer_tone2],,[],1f3c4_1f3fc,🏄🏼,,surfer tone 2,
🏄🏽,activity,surfer type,[surfer_tone3],,[],1f3c4_1f3fd,🏄🏽,,surfer tone 3,
🏄🏾,activity,surfer type,[surfer_tone4],,[],1f3c4_1f3fe,🏄🏾,,surfer tone 4,
🏄🏿,activity,surfer type,[surfer_tone5],,[],1f3c4_1f3ff,🏄🏿,,surfer tone 5,
🏅,activity,sports medal,"[sports_medal, medal]",,"[perfect, win, object, award, sport, medal]",1f3c5,🏅,[:sports_medal:],,
🏆,activity,trophy,[trophy],,"[trophy, perfect, prize, win, object, award, game, parties]",1f3c6,🏆,,,
🏇,activity,horse racing,[horse_racing],,"[horse, jockey, racehorse, men, sport, racing, horse racing]",1f3c7,🏇,,,
🏈,activity,american football,[football],,"[ball, football, game, american, sport, america]",1f3c8,🏈,,,
🏉,activity,rugby football,[rugby_football],,"[sport, game, ball, rugby, football]",1f3c9,🏉,,,
🏊,activity,swimmer,[swimmer],,"[swim, workout, sport, diversity, swimmer]",1f3ca,🏊,,,
🏊🏻,activity,swimmer type,[swimmer_tone1],,[],1f3ca_1f3fb,🏊🏻,,swimmer tone 1,
🏊🏼,activity,swimmer type,[swimmer_tone2],,[],1f3ca_1f3fc,🏊🏼,,swimmer tone 2,
🏊🏽,activity,swimmer type,[swimmer_tone3],,[],1f3ca_1f3fd,🏊🏽,,swimmer tone 3,
🏊🏾,activity,swimmer type,[swimmer_tone4],,[],1f3ca_1f3fe,🏊🏾,,swimmer tone 4,
🏊🏿,activity,swimmer type,[swimmer_tone5],,[],1f3ca_1f3ff,🏊🏿,,swimmer tone 5,
🏋,activity,weight lifter,"[weight_lifter, lifter]",1f3cb-fe0f,"[flex, diversity, weight, win, workout, men, lifter, weight lifting, sport]",1f3cb,🏋,[:weight_lifter:],,
🏋🏻,activity,weight lifter type,"[lifter_tone1, weight_lifter_tone1]",,[],1f3cb_1f3fb,🏋🏻,[:weight_lifter_tone1:],weight lifter tone 1,
🏋🏼,activity,weight lifter type,"[lifter_tone2, weight_lifter_tone2]",,[],1f3cb_1f3fc,🏋🏼,[:weight_lifter_tone2:],weight lifter tone 2,
🏋🏽,activity,weight lifter type,"[lifter_tone3, weight_lifter_tone3]",,[],1f3cb_1f3fd,🏋🏽,[:weight_lifter_tone3:],weight lifter tone 3,
🏋🏾,activity,weight lifter type,"[weight_lifter_tone4, lifter_tone4]",,[],1f3cb_1f3fe,🏋🏾,[:weight_lifter_tone4:],weight lifter tone 4,
🏋🏿,activity,weight lifter type,"[weight_lifter_tone5, lifter_tone5]",,[],1f3cb_1f3ff,🏋🏿,[:weight_lifter_tone5:],weight lifter tone 5,
🏌,activity,golfer,[golfer],1f3cc-fe0f,"[ball, golf, men, vacation, game, sport]",1f3cc,🏌,,,
🏍,travel,racing motorcycle,"[racing_motorcycle, motorcycle]",1f3cd-fe0f,"[transportation, travel, bike, racing, motorcycle]",1f3cd,🏍,[:racing_motorcycle:],,
