,category,title,shorts,unicode_alternates,keywords,ucode_short,ucode,aliases,alt_title,aliases_ascii
🇦🇴,flags,regional indicator symbol letter a regional indicator symbol letter o,"[flag_ao, ao]",,"[country, flag, angola]",1f1e6_1f1f4,🇦🇴,[:ao:],angola,
🇦🇶,flags,regional indicator symbol letter a regional indicator symbol letter q,"[aq, flag_aq]",,"[country, antarctica, flag]",1f1e6_1f1f6,🇦🇶,[:aq:],antarctica,
🇦🇷,flags,regional indicator symbol letter a regional indicator symbol letter r,"[ar, flag_ar]",,"[country, argentina, flag]",1f1e6_1f1f7,🇦🇷,[:ar:],argentina,
🇦🇸,flags,regional indicator symbol letter a regional indicator symbol letter s,"[as, flag_as]",,"[country, american, samoa, flag]",1f1e6_1f1f8,🇦🇸,[:as:],american samoa,
🇦🇹,flags,regional indicator symbol letter a regional indicator symbol letter t,"[flag_at, at]",,"[country, austria, flag]",1f1e6_1f1f9,🇦🇹,[:at:],austria,
🇦🇺,flags,regional indicator symbol letter a regional indicator symbol letter u,"[flag_au, au]",,"[country, flag, australia]",1f1e6_1f1fa,🇦🇺,[:au:],australia,
🇦🇼,flags,regional indicator symbol letter a regional indicator symbol letter w,"[flag_aw, aw]",,"[country, flag, aruba]",1f1e6_1f1fc,🇦🇼,[:aw:],aruba,
🇦🇽,flags,regional indicator symbol letter a regional indicator symbol letter x,"[ax, flag_ax]",,"[country, flag, land]",1f1e6_1f1fd,🇦🇽,[:ax:],åland islands,
🇦🇿,flags,regional indicator symbol letter a regional indicator symbol letter z,"[az, flag_az]",,"[country, flag, azerbaijan]",1f1e6_1f1ff,🇦🇿,[:az:],azerbaijan,
🇧🇦,flags,regional indicator symbol letter b regional indicator symbol letter a,"[flag_ba, ba]",,"[country, flag, herzegovina, bosnia]",1f1e7_1f1e6,🇧🇦,[:ba:],bosnia and herzegovina,
🇧🇧,flags,regional indicator symbol letter b regional indicator symbol letter b,"[flag_bb, bb]",,"[country, flag, barbados]",1f1e7_1f1e7,🇧🇧,[:bb:],barbados,
🇧🇩,flags,regional indicator symbol letter b regional indicator symbol letter d,"[bd, flag_bd]",,"[country, flag, bangladesh]",1f1e7_1f1e9,🇧🇩,[:bd:],bangladesh,
🇧🇪,flags,regional indicator symbol letter b regional indicator symbol letter e,"[be, flag_be]",,"[belgium, country, flag]",1f1e7_1f1ea,🇧🇪,[:be:],belgium,
🇧🇫,flags,regional indicator symbol letter b regional indicator symbol letter f,"[bf, flag_bf]",,"[country, flag, burkina faso]",1f1e7_1f1eb,🇧🇫,[:bf:],burkina faso,
🇧🇬,flags,regional indicator symbol letter b regional indicator symbol letter g,"[bg, flag_bg]",,"[country, flag, bulgaria]",1f1e7_1f1ec,🇧🇬,[:bg:],bulgaria,
🇧🇭,flags,regional indicator symbol letter b regional indicator symbol letter h,"[flag_bh, bh]",,"[bahrain, country, flag]",1f1e7_1f1ed,🇧🇭,[:bh:],bahrain,
🇧🇮,flags,regional indicator symbol letter b regional indicator symbol letter i,"[flag_bi, bi]",,"[burundi, country, flag]",1f1e7_1f1ee,🇧🇮,[:bi:],burundi,
🇧🇯,flags,regional indicator symbol letter b regional indicator symbol letter j,"[flag_bj, bj]",,"[country, flag, benin]",1f1e7_1f1ef,🇧🇯,[:bj:],benin,
🇧🇱,flags,regional indicator symbol letter b regional indicator symbol letter l,"[bl, flag_bl]",,"[country, flag, barth lemy, barthelemy, saint]",1f1e7_1f1f1,🇧🇱,[:bl:],saint barthélemy,
🇧🇲,flags,regional indicator symbol letter b regional indicator symbol letter m,"[bm, flag_bm]",,"[country, flag, bermuda]",1f1e7_1f1f2,🇧🇲,[:bm:],bermuda,
🇧🇳,flags,regional indicator symbol letter b regional indicator symbol letter n,"[bn, flag_bn]",,"[brunei, flag, country, darussalam]",1f1e7_1f1f3,🇧🇳,[:bn:],brunei,
🇧🇴,flags,regional indicator symbol letter b regional indicator symbol letter o,"[bo, flag_bo]",,"[country, flag, bolivia]",1f1e7_1f1f4,🇧🇴,[:bo:],bolivia,
🇧🇶,flags,regional indicator symbol letter b regional indicator symbol letter q,"[flag_bq, bq]",,"[netherlands, caribbean, country, sint, eustatius, flag, bonaire, saba]",1f1e7_1f1f6,🇧🇶,[:bq:],caribbean netherlands,
🇧🇷,flags,regional indicator symbol letter b regional indicator symbol letter r,"[flag_br, br]",,"[brazil, country, flag]",1f1e7_1f1f7,🇧🇷,[:br:],brazil,
🇧🇸,flags,regional indicator symbol letter b regional indicator symbol letter s,"[flag_bs, bs]",,"[bahamas, country, flag]",1f1e7_1f1f8,🇧🇸,[:bs:],the bahamas,
🇧🇹,flags,regional indicator symbol letter b regional indicator symbol letter t,"[bt, flag_bt]",,"[country, flag, bhutan]",1f1e7_1f1f9,🇧🇹,[:bt:],bhutan,
🇧🇻,flags,regional indicator symbol letter b regional indicator symbol letter v,"[bv, flag_bv]",,"[bouvet, flag, country, island]",1f1e7_1f1fb,🇧🇻,[:bv:],bouvet island,
🇧🇼,flags,regional indicator symbol letter b regional indicator symbol letter w,"[bw, flag_bw]",,"[country, flag, botswana]",1f1e7_1f1fc,🇧🇼,[:bw:],botswana,
🇧🇾,flags,regional indicator symbol letter b regional indicator symbol letter y,"[flag_by, by]",,"[country, flag, belarus]",1f1e7_1f1fe,🇧🇾,[:by:],belarus,
🇧🇿,flags,regional indicator symbol letter b regional indicator symbol letter z,"[flag_bz, bz]",,"[country, flag, belize]",1f1e7_1f1ff,🇧🇿,[:bz:],belize,
🇨🇦,flags,regional indicator symbol letter c regional indicator symbol letter a,"[flag_ca, ca]",,"[canada, country, flag]",1f1e8_1f1e6,🇨🇦,[:ca:],canada,
🇨🇨,flags,regional indicator symbol letter c regional indicator symbol letter c,"[flag_cc, cc]",,"[island, cocos, flag, keeling, country]",1f1e8_1f1e8,🇨🇨,[:cc:],cocos (keeling) islands,
🇨🇩,flags,regional indicator symbol letter c regional indicator symbol letter d,"[congo, flag_cd]",,"[kinshasa, country, flag, congo, congo kinshasa, republic, drc, democratic republic of congo]",1f1e8_1f1e9,🇨🇩,[:congo:],the democratic republic of the congo,
🇨🇫,flags,regional indicator symbol letter c regional indicator symbol letter f,"[flag_cf, cf]",,"[country, flag, republic, central african republic]",1f1e8_1f1eb,🇨🇫,[:cf:],central african republic,
🇨🇬,flags,regional indicator symbol letter c regional indicator symbol letter g,"[cg, flag_cg]",,"[congo brazzaville, country, republic of the congo, brazzaville, flag, congo, republic, congo republic]",1f1e8_1f1ec,🇨🇬,[:cg:],the republic of the congo,
🇨🇭,flags,regional indicator symbol letter c regional indicator symbol letter h,"[ch, flag_ch]",,"[switzerland, country, flag, neutral]",1f1e8_1f1ed,🇨🇭,[:ch:],switzerland,
🇨🇮,flags,regional indicator symbol letter c regional indicator symbol letter i,"[flag_ci, ci]",,"[cote ivoire, country, flag, c te ivoire, ivory coast]",1f1e8_1f1ee,🇨🇮,[:ci:],côte d’ivoire,
🇨🇰,flags,regional indicator symbol letter c regional indicator symbol letter k,"[flag_ck, ck]",,"[cook, island, flag, country]",1f1e8_1f1f0,🇨🇰,[:ck:],cook islands,
🇨🇱,flags,regional indicator symbol letter c regional indicator symbol letter l,"[chile, flag_cl]",,"[country, flag, chile]",1f1e8_1f1f1,🇨🇱,[:chile:],chile,
🇨🇲,flags,regional indicator symbol letter c regional indicator symbol letter m,"[cm, flag_cm]",,"[country, flag, cameroon]",1f1e8_1f1f2,🇨🇲,[:cm:],cameroon,
🇨🇳,flags,regional indicator symbol letter c regional indicator symbol letter n,"[flag_cn, cn]",,"[country, flag, china]",1f1e8_1f1f3,🇨🇳,[:cn:],china,
🇨🇴,flags,regional indicator symbol letter c regional indicator symbol letter o,"[co, flag_co]",,"[country, flag, colombia]",1f1e8_1f1f4,🇨🇴,[:co:],colombia,
🇨🇵,flags,regional indicator symbol letter c regional indicator symbol letter p,"[cp, flag_cp]",,"[clipperton, island, flag, country]",1f1e8_1f1f5,🇨🇵,[:cp:],clipperton island,
🇨🇷,flags,regional indicator symbol letter c regional indicator symbol letter r,"[flag_cr, cr]",,"[country, flag, costa rica]",1f1e8_1f1f7,🇨🇷,[:cr:],costa rica,
🇨🇺,flags,regional indicator symbol letter c regional indicator symbol letter u,"[cu, flag_cu]",,"[country, flag, cuba]",1f1e8_1f1fa,🇨🇺,[:cu:],cuba,
🇨🇻,flags,regional indicator symbol letter c regional indicator symbol letter v,"[flag_cv, cv]",,"[cape, flag, verde, cabo, country]",1f1e8_1f1fb,🇨🇻,[:cv:],cape verde,
🇨🇼,flags,regional indicator symbol letter c regional indicator symbol letter w,"[cw, flag_cw]",,"[country, flag, antilles, curacao, cura ao]",1f1e8_1f1fc,🇨🇼,[:cw:],curaçao,
🇨🇽,flags,regional indicator symbol letter c regional indicator symbol letter x,"[cx, flag_cx]",,"[island, flag, christmas, country]",1f1e8_1f1fd,🇨🇽,[:cx:],christmas island,
🇨🇾,flags,regional indicator symbol letter c regional indicator symbol letter y,"[flag_cy, cy]",,"[country, flag, cyprus]",1f1e8_1f1fe,🇨🇾,[:cy:],cyprus,
🇨🇿,flags,regional indicator symbol letter c regional indicator symbol letter z,"[flag_cz, cz]",,"[country, flag, czech republic]",1f1e8_1f1ff,🇨🇿,[:cz:],the czech republic,
🇩🇪,flags,regional indicator symbol letter d regional indicator symbol letter e,"[de, flag_de]",,"[country, flag, germany]",1f1e9_1f1ea,🇩🇪,[:de:],germany,
🇩🇬,flags,regional indicator symbol letter d regional indicator symbol letter g,"[flag_dg, dg]",,"[country, flag, diego garcia]",1f1e9_1f1ec,🇩🇬,[:dg:],diego garcia,
🇩🇯,flags,regional indicator symbol letter d regional indicator symbol letter j,"[dj, flag_dj]",,"[country, djibouti, flag]",1f1e9_1f1ef,🇩🇯,[:dj:],djibouti,
🇩🇰,flags,regional indicator symbol letter d regional indicator symbol letter k,"[flag_dk, dk]",,"[denmark, flag, country]",1f1e9_1f1f0,🇩🇰,[:dk:],denmark,
🇩🇲,flags,regional indicator symbol letter d regional indicator symbol letter m,"[dm, flag_dm]",,"[country, flag, dominica]",1f1e9_1f1f2,🇩🇲,[:dm:],dominica,
🇩🇴,flags,regional indicator symbol letter d regional indicator symbol letter o,"[flag_do, do]",,"[country, dominican republic, flag]",1f1e9_1f1f4,🇩🇴,[:do:],the dominican republic,
🇩🇿,flags,regional indicator symbol letter d regional indicator symbol letter z,"[dz, flag_dz]",,"[country, flag, algeria]",1f1e9_1f1ff,🇩🇿,[:dz:],algeria,
🇪🇦,flags,regional indicator symbol letter e regional indicator symbol letter a,"[flag_ea, ea,  melilla]",,"[ceuta, flag, melilla, country]",1f1ea_1f1e6,🇪🇦,[:ea:],ceuta,
🇪🇨,flags,regional indicator symbol letter e regional indicator symbol letter c,"[flag_ec, ec]",,"[country, flag, ecuador]",1f1ea_1f1e8,🇪🇨,[:ec:],ecuador,
🇪🇪,flags,regional indicator symbol letter e regional indicator symbol letter e,"[ee, flag_ee]",,"[country, flag, estonia]",1f1ea_1f1ea,🇪🇪,[:ee:],estonia,
🇪🇬,flags,regional indicator symbol letter e regional indicator symbol letter g,"[eg, flag_eg]",,"[egypt, country, flag]",1f1ea_1f1ec,🇪🇬,[:eg:],egypt,
🇪🇭,flags,regional indicator symbol letter e regional indicator symbol letter h,"[flag_eh, eh]",,"[west, flag, sahara, western sahara, country]",1f1ea_1f1ed,🇪🇭,[:eh:],western sahara,
🇪🇷,flags,regional indicator symbol letter e regional indicator symbol letter r,"[flag_er, er]",,"[eritrea, flag, country]",1f1ea_1f1f7,🇪🇷,[:er:],eritrea,
🇪🇸,flags,regional indicator symbol letter e regional indicator symbol letter s,"[flag_es, es]",,"[country, flag, spain]",1f1ea_1f1f8,🇪🇸,[:es:],spain,
🇪🇹,flags,regional indicator symbol letter e regional indicator symbol letter t,"[et, flag_et]",,"[ethiopia, flag, country]",1f1ea_1f1f9,🇪🇹,[:et:],ethiopia,
🇪🇺,flags,regional indicator symbol letter e regional indicator symbol letter u,"[eu, flag_eu]",,"[country, flag, european union]",1f1ea_1f1fa,🇪🇺,[:eu:],european union,
🇫🇮,flags,regional indicator symbol letter f regional indicator symbol letter i,"[fi, flag_fi]",,"[country, flag, finland]",1f1eb_1f1ee,🇫🇮,[:fi:],finland,
🇫🇯,flags,regional indicator symbol letter f regional indicator symbol letter j,"[fj, flag_fj]",,"[country, flag, fiji]",1f1eb_1f1ef,🇫🇯,[:fj:],fiji,
🇫🇰,flags,regional indicator symbol letter f regional indicator symbol letter k,"[fk, flag_fk]",,"[islas, falklands, island, flag, malvinas, country, falkland]",1f1eb_1f1f0,🇫🇰,[:fk:],falkland islands,
🇫🇲,flags,regional indicator symbol letter f regional indicator symbol letter m,"[flag_fm, fm]",,"[country, flag, micronesia]",1f1eb_1f1f2,🇫🇲,[:fm:],micronesia,
🇫🇴,flags,regional indicator symbol letter f regional indicator symbol letter o,"[flag_fo, fo]",,"[island, faroe, flag, country]",1f1eb_1f1f4,🇫🇴,[:fo:],faroe islands,
🇫🇷,flags,regional indicator symbol letter f regional indicator symbol letter r,"[fr, flag_fr]",,"[country, flag, france]",1f1eb_1f1f7,🇫🇷,[:fr:],france,
🇬🇦,flags,regional indicator symbol letter g regional indicator symbol letter a,"[ga, flag_ga]",,"[country, flag, gabon]",1f1ec_1f1e6,🇬🇦,[:ga:],gabon,
🇬🇧,flags,regional indicator symbol letter g regional indicator symbol letter b,"[flag_gb, gb]",,"[united, england, uk, country, scotland, britain, cornwall, united kingdom, flag, great britain, british, ireland, northern ireland, union jack, wales]",1f1ec_1f1e7,🇬🇧,[:gb:],great britain,
🇬🇩,flags,regional indicator symbol letter g regional indicator symbol letter d,"[gd, flag_gd]",,"[grenada, flag, country]",1f1ec_1f1e9,🇬🇩,[:gd:],grenada,
🇬🇪,flags,regional indicator symbol letter g regional indicator symbol letter e,"[flag_ge, ge]",,"[country, flag, georgia]",1f1ec_1f1ea,🇬🇪,[:ge:],georgia,
🇬🇫,flags,regional indicator symbol letter g regional indicator symbol letter f,"[flag_gf, gf]",,"[country, flag, french, guiana]",1f1ec_1f1eb,🇬🇫,[:gf:],french guiana,
🇬🇬,flags,regional indicator symbol letter g regional indicator symbol letter g,"[flag_gg, gg]",,"[country, flag, guernsey]",1f1ec_1f1ec,🇬🇬,[:gg:],guernsey,
🇬🇭,flags,regional indicator symbol letter g regional indicator symbol letter h,"[gh, flag_gh]",,"[ghana, country, flag]",1f1ec_1f1ed,🇬🇭,[:gh:],ghana,
🇬🇮,flags,regional indicator symbol letter g regional indicator symbol letter i,"[gi, flag_gi]",,"[country, flag, gibraltar]",1f1ec_1f1ee,🇬🇮,[:gi:],gibraltar,
🇬🇱,flags,regional indicator symbol letter g regional indicator symbol letter l,"[gl, flag_gl]",,"[country, flag, greenland]",1f1ec_1f1f1,🇬🇱,[:gl:],greenland,
🇬🇲,flags,regional indicator symbol letter g regional indicator symbol letter m,"[flag_gm, gm]",,"[gambia, flag, country]",1f1ec_1f1f2,🇬🇲,[:gm:],the gambia,
🇬🇳,flags,regional indicator symbol letter g regional indicator symbol letter n,"[flag_gn, gn]",,"[guinea, flag, country]",1f1ec_1f1f3,🇬🇳,[:gn:],guinea,
🇬🇵,flags,regional indicator symbol letter g regional indicator symbol letter p,"[gp, flag_gp]",,"[country, flag, guadeloupe]",1f1ec_1f1f5,🇬🇵,[:gp:],guadeloupe,
🇬🇶,flags,regional indicator symbol letter g regional indicator symbol letter q,"[gq, flag_gq]",,"[guinea, flag, country, equatorial guinea]",1f1ec_1f1f6,🇬🇶,[:gq:],equatorial guinea,
🇬🇷,flags,regional indicator symbol letter g regional indicator symbol letter r,"[flag_gr, gr]",,"[country, flag, greece]",1f1ec_1f1f7,🇬🇷,[:gr:],greece,
🇬🇸,flags,regional indicator symbol letter g regional indicator symbol letter s,"[gs, flag_gs]",,"[georgia, south sandwich, island, flag, south georgia, country, south]",1f1ec_1f1f8,🇬🇸,[:gs:],south georgia,
🇬🇹,flags,regional indicator symbol letter g regional indicator symbol letter t,"[gt, flag_gt]",,"[country, flag, guatemala]",1f1ec_1f1f9,🇬🇹,[:gt:],guatemala,
🇬🇺,flags,regional indicator symbol letter g regional indicator symbol letter u,"[flag_gu, gu]",,"[country, flag, guam]",1f1ec_1f1fa,🇬🇺,[:gu:],guam,
🇬🇼,flags,regional indicator symbol letter g regional indicator symbol letter w,"[flag_gw, gw]",,"[guinea, flag, bissau, country]",1f1ec_1f1fc,🇬🇼,[:gw:],guinea-bissau,
🇬🇾,flags,regional indicator symbol letter g regional indicator symbol letter y,"[gy, flag_gy]",,"[country, flag, guyana]",1f1ec_1f1fe,🇬🇾,[:gy:],guyana,
🇭🇰,flags,regional indicator symbol letter h regional indicator symbol letter k,"[flag_hk, hk]",,"[hong kong, flag, china, country]",1f1ed_1f1f0,🇭🇰,[:hk:],hong kong,
🇭🇲,flags,regional indicator symbol letter h regional indicator symbol letter m,"[hm, flag_hm]",,"[mcdonald, heard, flag, country, island]",1f1ed_1f1f2,🇭🇲,[:hm:],heard island and mcdonald islands,
🇭🇳,flags,regional indicator symbol letter h regional indicator symbol letter n,"[hn, flag_hn]",,"[country, flag, honduras]",1f1ed_1f1f3,🇭🇳,[:hn:],honduras,
🇭🇷,flags,regional indicator symbol letter h regional indicator symbol letter r,"[flag_hr, hr]",,"[country, flag, croatia]",1f1ed_1f1f7,🇭🇷,[:hr:],croatia,
🇭🇹,flags,regional indicator symbol letter h regional indicator symbol letter t,"[ht, flag_ht]",,"[country, flag, haiti]",1f1ed_1f1f9,🇭🇹,[:ht:],haiti,
🇭🇺,flags,regional indicator symbol letter h regional indicator symbol letter u,"[hu, flag_hu]",,"[hungary, flag, country]",1f1ed_1f1fa,🇭🇺,[:hu:],hungary,
🇮🇨,flags,regional indicator symbol letter i regional indicator symbol letter c,"[ic, flag_ic]",,"[island, flag, canary, country]",1f1ee_1f1e8,🇮🇨,[:ic:],canary islands,
🇮🇩,flags,regional indicator symbol letter i regional indicator symbol letter d,"[flag_id, indonesia]",,"[country, flag, indonesia]",1f1ee_1f1e9,🇮🇩,[:indonesia:],indonesia,
🇮🇪,flags,regional indicator symbol letter i regional indicator symbol letter e,"[flag_ie, ie]",,"[country, flag, ireland]",1f1ee_1f1ea,🇮🇪,[:ie:],ireland,
🇮🇱,flags,regional indicator symbol letter i regional indicator symbol letter l,"[flag_il, il]",,"[country, flag, israel, jew]",1f1ee_1f1f1,🇮🇱,[:il:],israel,
🇮🇲,flags,regional indicator symbol letter i regional indicator symbol letter m,"[flag_im, im]",,"[country, flag, isle of man]",1f1ee_1f1f2,🇮🇲,[:im:],isle of man,
🇮🇳,flags,regional indicator symbol letter i regional indicator symbol letter n,"[flag_in, in]",,"[country, flag, india]",1f1ee_1f1f3,🇮🇳,[:in:],india,
🇮🇴,flags,regional indicator symbol letter i regional indicator symbol letter o,"[flag_io, io]",,"[country, british, indian ocean, chagos, flag, island]",1f1ee_1f1f4,🇮🇴,[:io:],british indian ocean territory,
🇮🇶,flags,regional indicator symbol letter i regional indicator symbol letter q,"[iq, flag_iq]",,"[country, flag, iraq]",1f1ee_1f1f6,🇮🇶,[:iq:],iraq,
🇮🇷,flags,regional indicator symbol letter i regional indicator symbol letter r,"[ir, flag_ir]",,"[country, flag, iran]",1f1ee_1f1f7,🇮🇷,[:ir:],iran,
🇮🇸,flags,regional indicator symbol letter i regional indicator symbol letter s,"[is, flag_is]",,"[iceland, flag, country]",1f1ee_1f1f8,🇮🇸,[:is:],iceland,
🇮🇹,flags,regional indicator symbol letter i regional indicator symbol letter t,"[flag_it, it]",,"[country, flag, italy, italian]",1f1ee_1f1f9,🇮🇹,[:it:],italy,
